data,cota_obs_cm
2013-09-15,113.0
2013-09-16,114.0
2013-09-17,156.0
2013-09-18,156.0
2013-09-19,148.0
2013-09-20,138.0
2013-09-21,133.0
2013-09-22,225.0
2013-09-23,270.0
2013-09-24,273.0
2013-09-25,264.0
2013-09-26,240.0
2013-09-27,213.0
2013-09-28,185.0
2013-09-29,168.0
2013-09-30,155.0
2013-10-01,145.0
2013-10-02,161.0
2013-10-03,180.0
2013-10-04,205.0
2013-10-05,210.0
2013-10-06,193.0
2013-10-07,183.0
2013-10-08,168.0
2013-10-09,158.0
2013-10-10,148.0
2013-10-11,139.0
2013-10-12,132.0
2013-10-13,127.0
2013-10-14,124.0
2013-10-15,126.0
2013-10-16,132.0
2013-10-17,138.0
2013-10-18,140.0
2013-10-19,137.0
2013-10-20,136.0
2013-10-21,136.0
2013-10-22,135.0
2013-10-23,139.0
2013-10-24,139.0
2013-10-25,135.0
2013-10-26,131.0
2013-10-27,123.0
2013-10-28,121.0
2013-10-29,119.0
2013-10-30,118.0
2013-10-31,117.0
2013-11-01,117.0
2013-11-02,116.0
2013-11-03,120.0
2013-11-04,127.0
2013-11-05,129.0
2013-11-06,127.0
2013-11-07,125.0
2013-11-08,123.0
2013-11-09,121.0
2013-11-10,119.0
2013-11-11,117.0
2013-11-12,115.0
2013-11-13,113.0
2013-11-14,111.0
2013-11-15,109.0
2013-11-16,125.0
2013-11-17,121.0
2013-11-18,123.0
2013-11-19,125.0
2013-11-20,123.0
2013-11-21,120.0
2013-11-22,118.0
2013-11-23,116.0
2013-11-24,115.0
2013-11-25,117.0
2013-11-26,119.0
2013-11-27,120.0
2013-11-28,118.0
2013-11-29,114.0
2013-11-30,145.0
2013-12-01,139.0
2013-12-02,135.0
2013-12-03,129.0
2013-12-04,122.0
2013-12-05,117.0
2013-12-06,120.0
2013-12-07,117.0
2013-12-08,114.0
2013-12-09,116.0
2013-12-10,116.0
2013-12-11,114.0
2013-12-12,112.0
2013-12-13,110.0
2013-12-14,110.0
2013-12-15,113.0
2013-12-16,114.0
2013-12-17,112.0
2013-12-18,110.0
2013-12-19,110.0
2013-12-20,108.0
2013-12-21,111.0
2013-12-22,116.0
2013-12-23,123.0
2013-12-24,122.0
2013-12-25,120.0
2013-12-26,116.0
2013-12-27,112.0
2013-12-28,110.0
2013-12-29,108.0
2013-12-30,106.0
2013-12-31,105.0
2014-01-01,110.0
2014-01-02,124.0
2014-01-03,124.0
2014-01-04,125.0
