data,cota_obs_cm
2016-09-21,246.71
2016-09-22,248.04
2016-09-23,246.3
2016-09-24,243.35
2016-09-25,242.45
2016-09-26,237.81
2016-09-27,237.32
2016-09-28,236.68
2016-09-29,235.11
2016-09-30,238.85
2016-10-01,231.27
2016-10-02,233.21
2016-10-03,241.24
2016-10-04,229.97
2016-10-05,236.07
2016-10-06,236.08
2016-10-07,231.02
2016-10-08,239.75
2016-10-09,239.25
2016-10-10,237.05
2016-10-11,239.99
2016-10-12,249.75
2016-10-13,372.39
2016-10-14,375.48
2016-10-15,304.61
2016-10-16,281.05
2016-10-17,272.5
2016-10-18,293.2
2016-10-19,313.12
2016-10-20,290.71
2016-10-21,274.81
2016-10-22,263.18
2016-10-23,258.98
2016-10-24,255.34
2016-10-25,259.44
2016-10-26,265.74
2016-10-27,271.82
2016-10-28,274.58
2016-10-29,263.82
2016-10-30,258.5
2016-10-31,253.02
2016-11-01,250.81
2016-11-02,290.09
2016-11-03,357.78
2016-11-04,300.96
2016-11-05,279.51
2016-11-06,269.41
2016-11-07,261.23
2016-11-08,258.94
2016-11-09,257.59
2016-11-10,256.03
2016-11-11,253.29
2016-11-12,248.92
2016-11-13,248.05
2016-11-14,246.11
2016-11-15,245.22
2016-11-16,244.86
2016-11-17,244.94
2016-11-18,241.97
2016-11-19,239.12
2016-11-20,238.55
2016-11-21,238.22
2016-11-22,238.22
2016-11-23,237.31
2016-11-24,235.99
2016-11-25,238.65
2016-11-26,234.45
2016-11-27,240.29
2016-11-28,244.34
2016-11-29,314.23
2016-11-30,277.29
2016-12-01,259.66
2016-12-02,251.34
2016-12-03,266.76
2016-12-04,359.79
2016-12-05,304.89
2016-12-06,278.95
2016-12-07,264.83
2016-12-08,259.98
2016-12-09,255.39
2016-12-10,251.57
2016-12-11,253.42
2016-12-12,252.07
2016-12-13,249.41
2016-12-14,247.92
2016-12-15,242.78
2016-12-16,241.22
2016-12-17,241.16
2016-12-18,287.26
2016-12-19,395.6
2016-12-20,341.24
2016-12-21,329.0
2016-12-22,
2016-12-23,
2016-12-24,
2016-12-25,
2016-12-26,
2016-12-27,
2016-12-28,
2016-12-29,
2016-12-30,
2016-12-31,
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,262.35
2017-01-18,265.16
2017-01-19,268.0
2017-01-20,261.75
2017-01-21,263.04
2017-01-22,259.1
2017-01-23,258.28
2017-01-24,253.26
2017-01-25,272.3
2017-01-26,273.59
2017-01-27,260.51
2017-01-28,254.05
2017-01-29,259.31
2017-01-30,256.83
2017-01-31,261.76
2017-02-01,250.95
2017-02-02,251.42
2017-02-03,243.11
2017-02-04,245.49
2017-02-05,272.74
2017-02-06,236.66
2017-02-07,250.75
2017-02-08,255.68
2017-02-09,267.27
2017-02-10,254.03
2017-02-11,258.26
2017-02-12,258.07
2017-02-13,259.71
2017-02-14,283.49
2017-02-15,322.22
2017-02-16,297.27
2017-02-17,290.23
2017-02-18,285.71
2017-02-19,284.06
2017-02-20,269.79
2017-02-21,265.89
2017-02-22,263.01
2017-02-23,268.08
2017-02-24,265.06
2017-02-25,262.31
2017-02-26,255.84
2017-02-27,261.07
2017-02-28,255.51
2017-03-01,261.54
2017-03-02,249.84
2017-03-03,250.08
2017-03-04,262.02
2017-03-05,258.4
2017-03-06,258.71
2017-03-07,253.7
2017-03-08,247.45
2017-03-09,241.69
2017-03-10,263.81
2017-03-11,264.72
2017-03-12,273.69
2017-03-13,291.7
2017-03-14,280.34
2017-03-15,251.88
2017-03-16,298.61
2017-03-17,365.46
2017-03-18,319.36
2017-03-19,297.24
2017-03-20,288.23
2017-03-21,281.77
2017-03-22,275.29
2017-03-23,261.9
2017-03-24,281.6
2017-03-25,259.17
2017-03-26,280.04
2017-03-27,257.4
2017-03-28,262.04
2017-03-29,256.4
2017-03-30,263.04
2017-03-31,270.1
2017-04-01,274.17
2017-04-02,263.41
2017-04-03,249.85
2017-04-04,258.21
2017-04-05,276.43
2017-04-06,277.42
2017-04-07,276.59
2017-04-08,263.32
2017-04-09,246.68
2017-04-10,247.06
2017-04-11,260.19
2017-04-12,279.29
2017-04-13,276.22
2017-04-14,250.77
2017-04-15,250.42
2017-04-16,252.31
2017-04-17,253.2
2017-04-18,252.24
2017-04-19,264.98
2017-04-20,272.0
2017-04-21,264.21
2017-04-22,272.39
2017-04-23,281.86
2017-04-24,261.82
2017-04-25,254.52
2017-04-26,297.43
2017-04-27,364.99
2017-04-28,336.46
2017-04-29,311.27
2017-04-30,299.16
2017-05-01,274.47
2017-05-02,255.05
2017-05-03,275.17
2017-05-04,259.91
2017-05-05,252.35
2017-05-06,264.05
2017-05-07,266.64
2017-05-08,263.77
2017-05-09,248.38
2017-05-10,257.43
2017-05-11,262.5
2017-05-12,243.31
2017-05-13,253.8
2017-05-14,285.12
2017-05-15,300.24
2017-05-16,287.33
2017-05-17,274.43
2017-05-18,285.45
2017-05-19,515.84
2017-05-20,460.67
2017-05-21,343.0
2017-05-22,342.98
2017-05-23,325.0
2017-05-24,299.0
2017-05-25,273.17
2017-05-26,268.11
2017-05-27,341.03
2017-05-28,454.84
2017-05-29,469.2
2017-05-30,371.65
2017-05-31,454.93
2017-06-01,651.43
2017-06-02,462.93
2017-06-03,382.93
2017-06-04,338.09
2017-06-05,332.1
2017-06-06,322.95
2017-06-07,313.03
2017-06-08,337.25
2017-06-09,537.95
2017-06-10,444.22
2017-06-11,382.77
2017-06-12,352.91
2017-06-13,324.5
2017-06-14,301.02
2017-06-15,296.97
2017-06-16,291.78
2017-06-17,279.32
2017-06-18,262.82
2017-06-19,318.58
2017-06-20,320.4
2017-06-21,278.79
2017-06-22,276.59
2017-06-23,267.98
2017-06-24,279.68
2017-06-25,292.42
2017-06-26,289.68
2017-06-27,286.68
2017-06-28,293.62
2017-06-29,285.67
2017-06-30,290.74
2017-07-01,295.07
2017-07-02,313.56
2017-07-03,313.39
2017-07-04,282.82
2017-07-05,276.02
2017-07-06,280.3
2017-07-07,268.05
2017-07-08,263.14
2017-07-09,260.25
2017-07-10,257.54
2017-07-11,274.44
2017-07-12,278.66
2017-07-13,279.49
2017-07-14,273.35
2017-07-15,267.18
2017-07-16,262.81
2017-07-17,335.46
2017-07-18,337.54
2017-07-19,349.92
2017-07-20,
2017-07-21,
2017-07-22,
2017-07-23,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-29,
2017-07-30,
2017-07-31,292.67
2017-08-01,291.14
2017-08-02,288.48
2017-08-03,275.51
2017-08-04,290.92
2017-08-05,290.94
2017-08-06,288.36
2017-08-07,278.46
2017-08-08,262.61
2017-08-09,257.49
2017-08-10,272.81
2017-08-11,263.62
2017-08-12,261.3
2017-08-13,306.11
2017-08-14,408.41
2017-08-15,335.19
2017-08-16,289.99
2017-08-17,297.58
2017-08-18,290.59
2017-08-19,268.3
2017-08-20,355.56
2017-08-21,439.72
2017-08-22,349.75
2017-08-23,299.09
2017-08-24,270.8
2017-08-25,273.8
2017-08-26,281.12
2017-08-27,292.41
2017-08-28,271.09
2017-08-29,269.44
2017-08-30,270.15
2017-08-31,271.92
2017-09-01,271.06
2017-09-02,273.8
2017-09-03,272.07
2017-09-04,274.39
2017-09-05,272.28
2017-09-06,267.62
2017-09-07,273.08
2017-09-08,272.34
2017-09-09,266.19
2017-09-10,262.85
2017-09-11,280.46
2017-09-12,265.67
2017-09-13,255.11
2017-09-14,263.01
2017-09-15,273.26
2017-09-16,273.21
2017-09-17,278.47
2017-09-18,274.26
2017-09-19,271.11
2017-09-20,265.8
2017-09-21,278.5
2017-09-22,269.2
2017-09-23,271.96
2017-09-24,264.42
2017-09-25,258.78
2017-09-26,268.42
2017-09-27,262.99
2017-09-28,276.28
2017-09-29,286.46
2017-09-30,255.95
2017-10-01,259.26
2017-10-02,305.21
2017-10-03,302.19
2017-10-04,286.67
2017-10-05,278.25
2017-10-06,264.07
2017-10-07,261.86
2017-10-08,286.77
2017-10-09,358.95
2017-10-10,459.91
2017-10-11,515.86
2017-10-12,360.02
2017-10-13,322.24
2017-10-14,331.35
2017-10-15,317.85
2017-10-16,288.17
2017-10-17,273.05
2017-10-18,237.62
2017-10-19,235.55
2017-10-20,241.42
2017-10-21,323.69
2017-10-22,714.6
2017-10-23,479.15
2017-10-24,326.26
2017-10-25,308.8
2017-10-26,373.78
2017-10-27,345.04
2017-10-28,360.2
2017-10-29,327.57
2017-10-30,518.71
2017-10-31,426.99
2017-11-01,333.4
2017-11-02,302.31
2017-11-03,347.11
2017-11-04,651.34
2017-11-05,779.5
2017-11-06,451.6
2017-11-07,348.99
2017-11-08,319.96
2017-11-09,302.09
2017-11-10,310.35
2017-11-11,342.45
2017-11-12,295.98
2017-11-13,278.07
2017-11-14,266.75
2017-11-15,258.74
2017-11-16,252.77
2017-11-17,254.86
2017-11-18,326.03
2017-11-19,352.51
2017-11-20,295.69
2017-11-21,278.62
2017-11-22,288.66
2017-11-23,268.8
2017-11-24,257.98
2017-11-25,254.7
2017-11-26,288.07
2017-11-27,281.76
2017-11-28,266.16
2017-11-29,254.9
2017-11-30,252.15
2017-12-01,351.96
2017-12-02,294.1
2017-12-03,266.84
2017-12-04,255.08
2017-12-05,250.54
2017-12-06,248.19
2017-12-07,273.8
2017-12-08,272.96
2017-12-09,261.59
2017-12-10,253.29
2017-12-11,247.35
2017-12-12,242.77
2017-12-13,239.66
2017-12-14,237.94
2017-12-15,237.12
2017-12-16,240.44
2017-12-17,241.72
