data,cota_obs_cm
2012-01-01,105.0
2012-01-02,115.0
2012-01-03,103.0
2012-01-04,92.0
2012-01-05,84.0
2012-01-06,81.0
2012-01-07,83.0
2012-01-08,79.0
2012-01-09,79.0
2012-01-10,87.0
2012-01-11,105.0
2012-01-12,120.0
2012-01-13,126.0
2012-01-14,112.0
2012-01-15,138.0
2012-01-16,153.0
2012-01-17,173.0
2012-01-18,187.0
2012-01-19,198.0
2012-01-20,188.0
2012-01-21,155.0
2012-01-22,128.0
2012-01-23,179.0
2012-01-24,180.0
2012-01-25,174.0
2012-01-26,169.0
2012-01-27,145.0
2012-01-28,134.0
2012-01-29,127.0
2012-01-30,112.0
2012-01-31,102.0
2012-02-01,97.0
2012-02-02,93.0
2012-02-03,90.0
2012-02-04,87.0
2012-02-05,85.0
2012-02-06,83.0
2012-02-07,99.0
2012-02-08,93.0
2012-02-09,87.0
2012-02-10,145.0
2012-02-11,182.0
2012-02-12,165.0
2012-02-13,159.0
2012-02-14,143.0
2012-02-15,137.0
2012-02-16,127.0
2012-02-17,102.0
2012-02-18,95.0
2012-02-19,86.0
2012-02-20,87.0
2012-02-21,87.0
2012-02-22,113.0
2012-02-23,116.0
2012-02-24,128.0
2012-02-25,124.0
2012-02-26,125.0
2012-02-27,113.0
2012-02-28,113.0
2012-02-29,134.0
2012-03-01,128.0
2012-03-02,103.0
2012-03-03,91.0
2012-03-04,88.0
2012-03-05,85.0
2012-03-06,83.0
2012-03-07,81.0
2012-03-08,77.0
2012-03-09,74.0
2012-03-10,73.0
2012-03-11,72.0
2012-03-12,71.0
2012-03-13,69.0
2012-03-14,68.0
2012-03-15,70.0
2012-03-16,83.0
2012-03-17,85.0
2012-03-18,81.0
2012-03-19,77.0
2012-03-20,74.0
2012-03-21,72.0
2012-03-22,70.0
2012-03-23,68.0
2012-03-24,69.0
2012-03-25,70.0
2012-03-26,71.0
2012-03-27,119.0
2012-03-28,123.0
2012-03-29,94.0
2012-03-30,82.0
2012-03-31,75.0
2012-04-01,73.0
2012-04-02,72.0
2012-04-03,75.0
2012-04-04,71.0
2012-04-05,69.0
2012-04-06,69.0
2012-04-07,70.0
2012-04-08,99.0
2012-04-09,121.0
2012-04-10,112.0
2012-04-11,90.0
2012-04-12,106.0
2012-04-13,106.0
2012-04-14,95.0
2012-04-15,99.0
2012-04-16,119.0
2012-04-17,96.0
2012-04-18,85.0
