data,cota_obs_cm
2013-07-26,194.0
2013-07-27,191.0
2013-07-28,189.0
2013-07-29,188.0
2013-07-30,186.0
2013-07-31,185.0
2013-08-01,184.0
2013-08-02,184.0
2013-08-03,183.0
2013-08-04,182.0
2013-08-05,182.0
2013-08-06,181.0
2013-08-07,181.0
2013-08-08,181.0
2013-08-09,180.0
2013-08-10,180.0
2013-08-11,180.0
2013-08-12,179.0
2013-08-13,179.0
2013-08-14,182.0
2013-08-15,180.0
2013-08-16,179.0
2013-08-17,179.0
2013-08-18,179.0
2013-08-19,179.0
2013-08-20,178.0
2013-08-21,178.0
2013-08-22,178.0
2013-08-23,177.0
2013-08-24,177.0
2013-08-25,177.0
2013-08-26,177.0
2013-08-27,181.0
2013-08-28,177.0
2013-08-29,177.0
2013-08-30,176.0
2013-08-31,176.0
2013-09-01,176.0
2013-09-02,181.0
2013-09-03,177.0
2013-09-04,193.0
2013-09-05,177.0
2013-09-06,177.0
2013-09-07,176.0
2013-09-08,175.0
2013-09-09,175.0
2013-09-10,175.0
2013-09-11,175.0
2013-09-12,175.0
2013-09-13,174.0
2013-09-14,174.0
2013-09-15,174.0
2013-09-16,175.0
2013-09-17,202.0
2013-09-18,185.0
2013-09-19,174.0
2013-09-20,176.0
2013-09-21,175.0
2013-09-22,212.0
2013-09-23,258.0
2013-09-24,202.0
2013-09-25,190.0
2013-09-26,184.0
2013-09-27,181.0
2013-09-28,179.0
2013-09-29,189.0
2013-09-30,186.0
2013-10-01,182.0
2013-10-02,191.0
2013-10-03,187.0
2013-10-04,228.0
2013-10-05,195.0
2013-10-06,189.0
2013-10-07,185.0
2013-10-08,182.0
2013-10-09,181.0
2013-10-10,179.0
2013-10-11,179.0
2013-10-12,178.0
2013-10-13,177.0
2013-10-14,177.0
2013-10-15,180.0
2013-10-16,179.0
2013-10-17,180.0
2013-10-18,177.0
2013-10-19,176.0
2013-10-20,176.0
2013-10-21,175.0
2013-10-22,176.0
2013-10-23,175.0
2013-10-24,177.0
2013-10-25,190.0
2013-10-26,179.0
2013-10-27,181.0
2013-10-28,177.0
2013-10-29,175.0
2013-10-30,175.0
2013-10-31,175.0
2013-11-01,174.0
2013-11-02,174.0
2013-11-03,175.0
2013-11-04,191.0
