data,q_m3s
1930-05-23,25.9043
1930-05-24,24.4497
1930-05-25,24.4497
1930-05-26,24.4497
1930-05-27,25.4177
1930-05-28,25.4177
1930-05-29,23.0107
1930-05-30,23.0107
1930-05-31,23.0107
1930-06-01,23.0107
1930-06-02,23.0107
1930-06-03,23.0107
1930-06-04,23.0107
1930-06-05,23.0107
1930-06-06,22.0604
1930-06-07,22.0604
1930-06-08,21.588
1930-06-09,21.1175
1930-06-10,21.1175
1930-06-11,21.1175
1930-06-12,21.1175
1930-06-13,21.1175
1930-06-14,21.1175
1930-06-15,21.1175
1930-06-16,21.1175
1930-06-17,21.1175
1930-06-18,21.1175
1930-06-19,21.1175
1930-06-20,21.1175
1930-06-21,21.1175
1930-06-22,20.6489
1930-06-23,20.6489
1930-06-24,20.1822
1930-06-25,19.7174
1930-06-26,19.7174
1930-06-27,19.2547
1930-06-28,18.3353
1930-06-29,17.4243
1930-06-30,16.5218
1930-07-01,16.5218
1930-07-02,16.5218
1930-07-03,16.0739
1930-07-04,15.6283
1930-07-05,16.9719
1930-07-06,21.588
1930-07-07,25.4177
1930-07-08,35.9632
1930-07-09,45.4861
1930-07-10,52.049
1930-07-11,52.049
1930-07-12,52.049
1930-07-13,52.049
1930-07-14,51.496
1930-07-15,46.5686
1930-07-16,37.0008
1930-07-17,35.9632
1930-07-18,32.375
1930-07-19,32.375
1930-07-20,31.3627
1930-07-21,28.8581
1930-07-22,26.8824
1930-07-23,25.9043
1930-07-24,24.9329
1930-07-25,24.4497
1930-07-26,23.4886
1930-07-27,23.4886
1930-07-28,23.4886
1930-07-29,22.0604
1930-07-30,22.0604
1930-07-31,21.588
1930-08-01,21.1175
1930-08-02,20.1822
1930-08-03,19.2547
1930-08-04,18.794
1930-08-05,18.794
1930-08-06,18.794
1930-08-07,18.794
1930-08-08,18.794
1930-08-09,19.7174
1930-08-10,19.7174
1930-08-11,19.7174
1930-08-12,19.2547
1930-08-13,19.2547
1930-08-14,20.1822
1930-08-15,20.6489
1930-08-16,21.1175
1930-08-17,28.3618
1930-08-18,35.9632
